date,gdp,debt ,rus,int ,spred
3/31/2006,0.052444435,0,0.4967,0,-0.4967
6/30/2006,-0.043033497,0,0.4667,0,-0.4667
9/30/2006,0.031147868,0,0.5666,0,-0.5666
12/31/2006,-0.020599844,0,0.31,0,-0.31
3/31/2007,0.05784192,0,0.2034,0,-0.2034
6/30/2007,-0.042412067,0,-0.0034,0,0.0034
9/30/2007,0.033912862,0,0.08,0,-0.08
12/31/2007,-0.021802449,0,-0.2466,0,0.2466
3/31/2008,0.05766048,0,-0.4334,0,0.4334
6/30/2008,-0.052029627,0,-0.9133,0,0.9133
9/30/2008,0.036421159,0,-1.3467,0,1.3467
12/31/2008,-0.019066223,0,-0.4166,0,0.4166
3/31/2009,0.048117115,0,-0.1334,0,0.1334
6/30/2009,-0.060646767,0,-1.1966,0,1.1966
9/30/2009,0.039736519,0,-0.0834,0,0.0834
12/31/2009,-0.023195741,18.0645,-0.04,0,0.04
3/31/2010,0.051784791,-0.2799,-0.0166,0,0.0166
6/30/2010,-0.034418131,-0.3511,-0.1,0,0.1
9/30/2010,0.039151998,0.0601,0.05,0,-0.05
12/31/2010,-0.026854249,-0.2996,0.04,0,-0.04
3/31/2011,0.0486493,-0.5316,0.01,0,-0.01
6/30/2011,-0.040473821,-0.3981,-0.02,0,0.02
9/30/2011,0.033872173,-0.135,-0.01,0,0.01
12/31/2011,-0.029059596,0.2445,-0.08,0,0.08
3/31/2012,0.052840374,-0.735,-0.0234,0,0.0234
6/30/2012,-0.032183146,-0.2526,-0.01,0,0.01
9/30/2012,0.03460595,-0.5001,0.0534,0,-0.0534
12/31/2012,-0.024260854,-0.7313,0.02,0,-0.02
3/31/2013,0.054633512,-0.9947,0.0166,0,-0.0166
6/30/2013,-0.033194069,-0.9737,-0.0166,0,0.0166
9/30/2013,0.034280073,0.1586,0,0,0
12/31/2013,-0.027518623,-0.1458,-0.0367,0,0.0367
3/31/2014,0.049072305,-0.4952,-0.0167,0,0.0167
6/30/2014,-0.03176359,0.005,0.03,0,-0.03
9/30/2014,0.039335817,-0.4978,-0.0166,0,0.0166
12/31/2014,-0.031604677,0.1377,-0.0134,0,0.0134
3/31/2015,0.052309224,-0.7246,-0.0066,0,0.0066
6/30/2015,-0.037820341,-0.0425,-0.0034,0,0.0034
9/30/2015,0.044052434,-0.1621,0.0034,0,-0.0034
12/31/2015,-0.030835447,0.0227,-0.0067,0,0.0067
3/31/2016,0.054170429,-0.0203,0.02,0,-0.02
6/30/2016,-0.038334125,-0.0895,0.0833,0,-0.0833
9/30/2016,0.04616318,0.0778,0.1634,0,-0.1634
12/31/2016,-0.031279159,-0.0019,-0.03,0,0.03
3/31/2017,0.052480812,-0.3532,0.04,0,-0.04
6/30/2017,-0.040528801,-0.1053,0.1333,0,-0.1333
9/30/2017,0.049429147,-0.2222,0.16,0,-0.16
12/31/2017,-0.029845065,-0.1351,0.3,0,-0.3
3/31/2018,0.048869765,-0.2339,0.1467,0,-0.1467
6/30/2018,-0.041289578,0.6805,0.17,0,-0.17
9/30/2018,0.049120354,-0.2432,0.3533,0,-0.3533
12/31/2018,-0.030797026,0.3869,0.28,0,-0.28
3/31/2019,0.049841753,-0.5498,0.2,0,-0.2
6/30/2019,-0.043377076,0.0039,0.2767,0,-0.2767
9/30/2019,0.048100709,-0.057,0.07,0,-0.07
12/31/2019,-0.02791352,0.0754,-0.0867,0,0.0867
3/31/2020,0.050996353,-0.2838,-0.32,0,0.32
6/30/2020,-0.074051883,0.632,-0.4033,0,0.4033
9/30/2020,-0.02946764,1.7582,-0.4667,0,0.4667
12/31/2020,-0.000781097,0.946,-0.9667,0,0.9667
3/31/2021,0.067023025,1.1707,-0.03,0,0.03
6/30/2021,-0.053448941,-0.0971,-0.02,0,0.02
9/30/2021,0.036586745,0.4556,-0.0433,0,0.0433
12/31/2021,-0.020615491,1.0969,-0.0233,0,0.0233
3/31/2022,0.070333512,-0.8368,0.02,0,-0.02
6/30/2022,-0.05269021,0.8129,0.0066,0,-0.0066
9/30/2022,0.034450621,0.1051,0.2534,0,-0.2534
12/31/2022,-0.019871473,0.3408,0.77,0,-0.77
